uid,"3. In the last month, how often have you felt nervous and ""stressed""?","During the past month, how many ' of actual sleep did you get at night? (This may be different than the number of ' you spent in bed.)",I lead a purposeful and meaningful life
u00,4,6,7
u01,3,10,4
u02,3,8,6
u03,3,7,6
u04,4,6.5,3
u05,2,8,6
u07,4,8,7
u08,5,7,5
u09,3,7.5,5
u10,4,7,6
u12,3,7.5,7
u13,5,7,6
u14,3,9,7
u15,4,7,5
u16,5,7.5,6
u17,5,6.5,5
u18,4,7,6
u19,3,7,6
u20,3,7,7
u22,2,8,6
u23,5,6,5
u24,4,7,6
u27,4,6,4
u30,3,7,7
u31,3,4,3
u32,5,7,7
u33,3,7,2
u34,2,8,6
u35,3,6.5,7
u36,5,7.5,6
u42,4,5,5
u43,3,7.5,6
u44,3,7,6
u45,3,8,5
u46,4,7,5
u47,3,8,7
u49,2,4.5,7
u50,3,7,6
u51,5,6,5
u52,5,9,3
u53,4,7,7
u56,2,8,5
u57,3,9,6
u58,5,7.5,7
u59,3,5,5
